"","SurveyResponseID","Qdemosage","Qdemoshispanic","Qdemosrace","Qdemoseducation","Qdemosincome","Qdemosgender","Qsexualorientation","Qdemosstate","Qamazonusehowmany","Qamazonusehhsize","Qamazonusehowoft","Qsubstanceusecigarettes","Qsubstanceusemarijuana","Qsubstanceusealcohol","Qpersonaldiabetes","Qpersonalwheelchair","Qlifechanges","QsellYOURdata","Qsellconsumerdata","Qsmallbizuse","Qcensususe","Qresearchsociety","ShippingAddressState","TOTAL_EXCERCISE_SPENT","MORE_THAN_AVERAGE","HAS_PURCHASED_MOTHERBOARD","HAS_PURCHASED_GOLF_BAG","HAS_PURCHASED_TOYS_AND_GAMES","HAS_PURCHASED_SUGAR_CANDY","HAS_PURCHASED_SKATEBOARD","HAS_PURCHASED_GAMES","HAS_PURCHASED_AMAZON_BOOK_READER","HAS_PURCHASED_WEARABLE_COMPUTER","HAS_PURCHASED_PET_SUPPLIES","HAS_PURCHASED_SPORTING_GOODS","HAS_PURCHASED_ABIS_BOOK","HAS_PURCHASED_HEADPHONES","HAS_PURCHASED_PHYSICAL_VIDEO_GAME_SOFTWARE","HAS_PURCHASED_SNACK_CHIP_AND_CRISP","HAS_PURCHASED_DOWNLOADABLE_VIDEO_GAME","HAS_PURCHASED_OUTDOOR_LIVING","HAS_PURCHASED_COOKIE","HAS_PURCHASED_MEAT","HAS_PURCHASED_SWIMWEAR","HAS_PURCHASED_FOOD_STORAGE_CONTAINER","HAS_PURCHASED_MASSAGER","HAS_PURCHASED_WEIGH_SCALE","HAS_PURCHASED_SPEAKERS","HAS_PURCHASED_PLANNER","HAS_PURCHASED_INSTRUMENT_PARTS_AND_ACCESSORIES","HAS_PURCHASED_MEDICATION","HAS_PURCHASED_VEGETABLE","HAS_PURCHASED_VITAMIN","HAS_PURCHASED_PET_FOOD","HAS_PURCHASED_SKIN_MOISTURIZER","HAS_PURCHASED_COFFEE","HAS_PURCHASED_PHYSICAL_MOVIE","HAS_PURCHASED_NUTRITIONAL_SUPPLEMENT","HAS_PURCHASED_SKIN_CLEANING_AGENT","HAS_PURCHASED_HERBAL_SUPPLEMENT","HAS_PURCHASED_MINERAL_SUPPLEMENT","HAS_PURCHASED_PROTEIN_DRINK","HAS_PURCHASED_PROTEIN_SUPPLEMENT_POWDER","HAS_PURCHASED_DIETARY_SUPPLEMENTS","HAS_PURCHASED_ABIS_SPORTS","HAS_PURCHASED_HEALTH_FOOD","HAS_PURCHASED_SPORTS_DRINK"
"11","R_24bE9NTxiBf6v2b","45 - 54 years","No","White or Caucasian","High school diploma or GED","Less than $25,000","Male","heterosexual (straight)","Florida","1 (just me!)","1 (just me!)","Less than 5 times per month","Yes","No","No","No","No","","No","No","No","No","No","FL",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0
"12","R_3ezBqJzPjKM0Dfa","45 - 54 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Louisiana","1 (just me!)","2","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","I don't know","LA",474.25,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
"13","R_3KO24XmGqUIwMZH","18 - 24 years","No","White or Caucasian,American Indian/Native American or Alaska Native","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Oregon","4+","4+","5 - 10 times per month","No","No","No","No","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","OR",0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"14","R_3ffp8zARsGqkOER","25 - 34 years","No","White or Caucasian","Prefer not to say","$100,000 - $149,999","Male","heterosexual (straight)","New York","3","2","5 - 10 times per month","No","No","Yes","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes","NY",0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0
"15","R_1o4IsRkXnLlSU6K","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Pennsylvania","2","2","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes","",138.7,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"16","R_r3IM83Ecq7eY7QJ","45 - 54 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Texas","1 (just me!)","3","More than 10 times per month","No","No","No","Yes","No","Lost a job ,Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes","TX",960.71,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
"17","R_2TL7w44l8M5vEok","45 - 54 years","No","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Female","heterosexual (straight)","Michigan","1 (just me!)","4+","5 - 10 times per month","No","Yes","Yes","No","No","Had a child","No","No","No","No","No","MI",14,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0
"18","R_85OdkeCoFP5daLL","55 - 64 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","LGBTQ+","Oregon","1 (just me!)","2","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","OR",0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
"19","R_vpk0yzFgO6qbsFr","25 - 34 years","No","White or Caucasian,Black or African American","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Maryland","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","No","No","No","Lost a job ,Moved place of residence","No","No","No","No","No","MD",10.19,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
"20","R_3m33kWDsWBV6QS3","35 - 44 years","No","Black or African American","Bachelor's degree","$25,000 - $49,999","Male","heterosexual (straight)","Virginia","1 (just me!)","3","Less than 5 times per month","No","No","Yes","Yes","Yes","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","No","VA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0
"21","R_1CIQjlABWt7jZWc","35 - 44 years","No","Asian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Wisconsin","1 (just me!)","2","5 - 10 times per month","No","No","Yes","No","No","","No","No","No","No","No","WI",0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
"22","R_2S2CgleghqVouH5","35 - 44 years","No","American Indian/Native American or Alaska Native","Some high school or less","$75,000 - $99,999","Female","heterosexual (straight)","Wisconsin","2","3","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","No","Yes","WI",0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
"23","R_2cdDkpDqDzaxMGK","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","heterosexual (straight)","Maryland","1 (just me!)","2","Less than 5 times per month","No","Yes","No","No","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","MD",0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
"24","R_1jYOsGh5TQW4Hsg","18 - 24 years","Yes","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","prefer not to say","Florida","3","4+","5 - 10 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","No","",10.67,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"25","R_3EVY4NsMzRR1v2S","35 - 44 years","No","White or Caucasian","High school diploma or GED","$50,000 - $74,999","Male","heterosexual (straight)","Ohio","1 (just me!)","4+","More than 10 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","No","OH",26.88,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"26","R_3Rlrr05USyXOeP7","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Male","LGBTQ+","Virginia","1 (just me!)","3","More than 10 times per month","No","Yes","No","Yes","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","I don't know","VA",61.41,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
"27","R_Y4aBj5VuuQKYcq5","55 - 64 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","North Carolina","1 (just me!)","2","5 - 10 times per month","No","No","No","No","No","","No","No","I don't know","Yes","Yes","NC",168.93,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
"28","R_3fBmKcLTAgFITMo","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Colorado","1 (just me!)","2","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes","CO",14.89,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
"29","R_rqYLYukRihPwUmZ","25 - 34 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","LGBTQ+","Colorado","1 (just me!)","1 (just me!)","Less than 5 times per month","No","Yes","No","No","No","Lost a job ,Moved place of residence","No","No","No","No","Yes","AL",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"30","R_2QlbbNmO9Ln2Sii","35 - 44 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","North Carolina","1 (just me!)","4+","Less than 5 times per month","No","No","No","Yes","No","","I don't know","I don't know","Yes","I don't know","I don't know","VA",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"31","R_3qP8tODbwi66o3t","35 - 44 years","No","White or Caucasian","High school diploma or GED","$150,000 or more","Male","heterosexual (straight)","Oregon","2","4+","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","I don't know","I don't know","I don't know","Yes","OR",0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0
"32","R_2R7E5Ezaz55PIIg","25 - 34 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Oklahoma","1 (just me!)","2","5 - 10 times per month","Yes","No","I stopped in the recent past","Yes","No","Lost a job ","Yes if I get part of the profit","No","Yes","No","No","TX",0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"33","R_2EglJpTWGEiwQYa","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","New York","2","4+","More than 10 times per month","No","No","No","No","No","","No","No","Yes","No","Yes","NY",219.04,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
"34","R_swfIN0JgX72IbMl","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Female","heterosexual (straight)","North Carolina","2","3","5 - 10 times per month","No","No","Yes","Yes","No","","No","No","No","No","Yes","NC",90.75,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
"35","R_XtYIlnjI6etRnGh","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more","Female","LGBTQ+","Alabama","1 (just me!)","2","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes","AL",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
"36","R_3FWYtGRVAKLzCT4","45 - 54 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Florida","1 (just me!)","2","Less than 5 times per month","No","No","No","Yes","No","","No","No","I don't know","No","Yes","FL",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0
"37","R_4PhRzF4UI9ooLh7","45 - 54 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Wisconsin","1 (just me!)","4+","More than 10 times per month","No","No","No","No","No","","Yes","Yes","No","Yes","Yes","WI",0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
"38","R_2QlfFCEdKYPO953","25 - 34 years","No","Black or African American","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Florida","1 (just me!)","4+","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes","FL",43.94,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
"39","R_2WZPO77ofaGQyBR","35 - 44 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Michigan","2","4+","Less than 5 times per month","Yes","No","No","No","No","","No","No","I don't know","I don't know","No","MI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
"40","R_1Fz9yYKcVxPaD7n","18 - 24 years","No","Asian","Bachelor's degree","$50,000 - $74,999","Male","heterosexual (straight)","Nevada","2","2","5 - 10 times per month","No","No","Yes","No","No","Moved place of residence","No","No","Yes","Yes","Yes","NV",425.24,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"41","R_2e2WQWm1z9j93zW","35 - 44 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Oklahoma","2","4+","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","OH",0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"42","R_5u1j9x0AEArQHSN","18 - 24 years","Yes","White or Caucasian","High school diploma or GED","$50,000 - $74,999","Male","heterosexual (straight)","Texas","2","4+","Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes","TX",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"43","R_3qVzNrS8zs5FU1Q","25 - 34 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","New York","3","2","More than 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes","NY",499.86,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
"44","R_1EafkWC1L7tVe0w","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Massachusetts","3","2","5 - 10 times per month","No","No","No","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes","MA",71.95,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0
"45","R_Y4jCkfTFzvtw5SF","45 - 54 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Indiana","2","1 (just me!)","Less than 5 times per month","No","No","No","No","No","","No","No","No","No","Yes","IN",25.95,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
"46","R_z6wrYNsvTbmmmQ1","45 - 54 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Washington","1 (just me!)","1 (just me!)","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes","No","No","Yes","WA",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0
"47","R_22AqasPW903IXSY","35 - 44 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","New Jersey","1 (just me!)","2","Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","NJ",23.99,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0
"48","R_2aRHDRQpAhGhdmD","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","LGBTQ+","California","1 (just me!)","4+","More than 10 times per month","No","No","No","No","No","","No","No","No","Yes","Yes","CA",52.68,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0
"49","R_UaUT55gxGPcEyR3","25 - 34 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","LGBTQ+","Florida","1 (just me!)","2","5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes","FL",36.98,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
